1. WCSPH, Smoothing length: 1.75, CFL: 2.1 -> failed

2. WCSPH, Smoothing length: 1.5, CFL: 2.1 -> failed (at 86%)

3. WCSPH, Smoothing lenght: 1.5, CFL: 2.0 -> failed (at 94%)

4. WCSPH, Smoothing lenght: 1.5, CFL: 1.9 -> failed (at 97%)

5. WCSPH, Smoothing lenght: 1.5, CFL: 1.8 -> 373 Sekunden

6. WCSPH, Smoothing lenght: 1.75, CFL: 2.0 -> failed (at 97%)

7. WCSPH, Smoothing lenght: 1.75, CFL: 1.9 ->  325 Sekunden

8. WCSPH, Smoothing lenght: 2.0, CFL: 2.0 -> failed (at 67%)

9. WCSPH, Smoothing lenght: 2.0, CFL: 1.9 -> 316 Sekunden

10. WCSPH, Smoothing lenght: 1.25, CFL: 1.8 -> 394 Sekunden

11. WCSPH, Smoothing lenght: 1.25, CFL: 1.9 -> failed (at 97%)



-------------------------------------------------------------------------------------------


1. IISPH, time step: 0.0002, omega: 0.5, max error: 0.1 -> 318 Sekunden

2. IISPH, time step: 0.0002, omega: 0.6, max error: 0.4 -> failed

3. IISPH, time step: 0.0002, omega: 0.5, max error: 0.4 -> failed

4. IISPH, time step: 0.0002, omega: 0.4, max error: 0.4 -> failed

5. IISPH, time step: 0.0002, omega: 0.4, max error: 0.3 -> failed

6. IISPH, time step: 0.0002, omega: 0.4, max error: 0.2 -> 261 Sekunden

7. IISPH, time step: 0.0002, omega: 0.5, max error: 0.2 -> 212 Sekunden

8. IISPH, time step: 0.0002, omega: 0.6, max error: 0.2 -> 191 Sekunden

8. IISPH, time step: 0.0002, omega: 0.7, max error: 0.2 -> 168 Sekunden !

8. IISPH, time step: 0.0002, omega: 0.8, max error: 0.2 -> failed


8. IISPH, time step: 0.00025, omega: 0.4, max error: 0.2 -> failed

9. IISPH, time step: 0.00025, omega: 0.5, max error: 0.2 -> failed

10. IISPH, time step: 0.00025, omega: 0.6, max error: 0.2 -> 184 Sekunden

10. IISPH, time step: 0.00025, omega: 0.7, max error: 0.2 -> 147 Sekunden !!

10. IISPH, time step: 0.00025, omega: 0.8, max error: 0.2 -> failed

10. IISPH, time step: 0.00025, omega: 0.6, max error: 0.3 -> 160 Sekunden / 153 Sekunden / 145 Sekunden / 158 Sekunden

10. IISPH, time step: 0.00025, omega: 0.7, max error: 0.3 -> 160 Sekunden

11. IISPH, time step: 0.00025, omega: 0.7, max error: 0.3 -> 137 Sekunden !!!

11. IISPH, time step: 0.00025, omega: 0.8, max error: 0.3 -> failed

11. IISPH, time step: 0.00025, omega: 0.6, max error: 0.4 -> failed

11. IISPH, time step: 0.00025, omega: 0.5, max error: 0.4 -> failed


12. IISPH, time step: 0.0003, omega: 0.4, max error: 0.2 -> failed

13. IISPH, time step: 0.0003, omega: 0.4, max error: 0.1 -> 516 Sekunden

13. IISPH, time step: 0.0003, omega: 0.7, max error: 0.1 -> 219 Sekunden

13. IISPH, time step: 0.0003, omega: 0.6, max error: 0.2 -> 173 Sekunden

13. IISPH, time step: 0.0003, omega: 0.7, max error: 0.2 -> failed

13. IISPH, time step: 0.0003, omega: 0.6, max error: 0.3 -> failed

13. IISPH, time step: 0.0003, omega: 0.5, max error: 0.3 -> failed

13. IISPH, time step: 0.0004, omega: 0.5, max error: 0.1 -> failed

13. IISPH, time step: 0.0004, omega: 0.4, max error: 0.1 -> failed


13. IISPH, time step: 0.0001, omega: 0.6, max error: 0.4 -> failed
